epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.608,1.09851,4.85576,1.43942,0.44863,0.31965,0.30285,0.20856,1.20331,2.64575,1.47651,0.00333258,0.00333258,0.00333258
2,992.421,1.09054,2.78858,1.37383,0.60086,0.54295,0.56864,0.39244,1.18751,1.85152,1.41372,0.00657426,0.00657426,0.00657426
3,1477.56,1.15035,2.56734,1.3997,0.60197,0.57528,0.59736,0.40563,1.21211,1.75471,1.43689,0.00972427,0.00972427,0.00972427
4,1959.45,1.14729,2.43174,1.39779,0.66252,0.6771,0.68857,0.48561,1.13069,1.37561,1.3528,0.0095875,0.0095875,0.0095875
5,2438.95,1.08292,2.12051,1.34592,0.71124,0.71791,0.73808,0.53469,1.06786,1.20345,1.27813,0.00945,0.00945,0.00945
6,2919.44,1.04386,1.93421,1.31615,0.73587,0.75682,0.77185,0.56637,1.03782,1.09505,1.2473,0.0093125,0.0093125,0.0093125
7,3398.26,1.01673,1.8162,1.29718,0.76584,0.77262,0.79392,0.59145,1.01196,1.0277,1.22311,0.009175,0.009175,0.009175
8,3874.77,0.9961,1.73785,1.28403,0.76674,0.79428,0.81345,0.60847,0.99363,0.97697,1.20303,0.0090375,0.0090375,0.0090375
9,4355.29,0.98035,1.68176,1.27351,0.77674,0.80467,0.82407,0.62131,0.97747,0.93765,1.18836,0.0089,0.0089,0.0089
10,4831.88,0.97251,1.62955,1.26372,0.78146,0.81424,0.83369,0.63083,0.9706,0.90195,1.18102,0.0087625,0.0087625,0.0087625
11,5308.61,0.96252,1.58556,1.25754,0.78819,0.81986,0.84151,0.63914,0.96004,0.89128,1.17141,0.008625,0.008625,0.008625
12,5787.41,0.95136,1.54939,1.25129,0.78991,0.82738,0.84646,0.64548,0.95234,0.87397,1.16459,0.0084875,0.0084875,0.0084875
13,6270.65,0.94626,1.51719,1.24655,0.79959,0.82791,0.85046,0.65035,0.9463,0.86423,1.15888,0.00835,0.00835,0.00835
14,6749.28,0.93051,1.48548,1.23882,0.79965,0.83215,0.85365,0.65391,0.94141,0.85384,1.15463,0.0082125,0.0082125,0.0082125
15,7226.62,0.92334,1.46076,1.23553,0.80195,0.835,0.85674,0.6573,0.93718,0.84405,1.15066,0.008075,0.008075,0.008075
16,7710.19,0.92036,1.44,1.23084,0.80306,0.83833,0.86008,0.66079,0.93284,0.83362,1.1465,0.0079375,0.0079375,0.0079375
17,8183.71,0.91621,1.41148,1.22669,0.80694,0.83914,0.86286,0.66428,0.92864,0.82509,1.14281,0.0078,0.0078,0.0078
18,8658.15,0.90884,1.3938,1.22667,0.80777,0.84215,0.86554,0.66738,0.92469,0.81679,1.13893,0.0076625,0.0076625,0.0076625
19,9130.79,0.90076,1.36135,1.22077,0.81144,0.84284,0.86802,0.67041,0.92051,0.80676,1.13507,0.007525,0.007525,0.007525
20,9608.13,0.89965,1.36382,1.2172,0.81194,0.84623,0.8708,0.67337,0.9166,0.79712,1.1317,0.0073875,0.0073875,0.0073875
21,10081.2,0.89672,1.34167,1.21537,0.81465,0.84822,0.87351,0.67629,0.91352,0.78626,1.1291,0.00725,0.00725,0.00725
22,10558.6,0.88754,1.31265,1.21165,0.81915,0.84881,0.87594,0.67937,0.90996,0.77729,1.126,0.0071125,0.0071125,0.0071125
23,11035.6,0.8853,1.31611,1.20936,0.82115,0.85104,0.87872,0.68269,0.90619,0.7679,1.12269,0.006975,0.006975,0.006975
24,11507.9,0.88429,1.29704,1.20945,0.8216,0.85573,0.88145,0.68578,0.90221,0.75864,1.11916,0.0068375,0.0068375,0.0068375
25,11986,0.88013,1.29093,1.20614,0.82503,0.85765,0.88457,0.68913,0.89826,0.74898,1.11576,0.0067,0.0067,0.0067
26,12463.9,0.87493,1.27586,1.19897,0.8278,0.85938,0.88776,0.69302,0.89407,0.73865,1.11237,0.0065625,0.0065625,0.0065625
27,12943.1,0.87039,1.26186,1.19807,0.82907,0.86279,0.89078,0.6965,0.89038,0.72805,1.10932,0.006425,0.006425,0.006425
28,13415.9,0.86429,1.24728,1.19578,0.83028,0.8661,0.89348,0.69984,0.88678,0.71879,1.10626,0.0062875,0.0062875,0.0062875
29,13888.1,0.86719,1.23488,1.19732,0.83106,0.87062,0.89637,0.70324,0.88317,0.70928,1.10309,0.00615,0.00615,0.00615
30,14359.8,0.85833,1.2226,1.19135,0.83131,0.87424,0.8992,0.70657,0.87881,0.6996,1.0994,0.0060125,0.0060125,0.0060125
31,14837.1,0.8543,1.21398,1.18916,0.83639,0.87503,0.90207,0.7099,0.87456,0.69079,1.09593,0.005875,0.005875,0.005875
32,15311.7,0.85348,1.20055,1.18664,0.84033,0.87715,0.90524,0.71366,0.87004,0.68195,1.09245,0.0057375,0.0057375,0.0057375
33,15791.2,0.84777,1.18747,1.1839,0.84515,0.87816,0.90784,0.71714,0.86578,0.67296,1.08912,0.0056,0.0056,0.0056
34,16268.5,0.8475,1.17726,1.18419,0.8485,0.87992,0.91086,0.72092,0.86128,0.6628,1.08547,0.0054625,0.0054625,0.0054625
35,16740.2,0.83985,1.15718,1.17923,0.85257,0.88071,0.9138,0.72434,0.8566,0.65234,1.08146,0.005325,0.005325,0.005325
36,17218.9,0.83657,1.15393,1.1765,0.85737,0.88201,0.91661,0.72784,0.85182,0.64221,1.07752,0.0051875,0.0051875,0.0051875
37,17695.3,0.83406,1.1452,1.17637,0.86119,0.88356,0.91907,0.73101,0.84698,0.63332,1.07372,0.00505,0.00505,0.00505
38,18169.1,0.82929,1.12953,1.17338,0.86488,0.88537,0.92178,0.73415,0.84234,0.62395,1.06997,0.0049125,0.0049125,0.0049125
39,18640.3,0.82674,1.12516,1.1715,0.86728,0.88817,0.92401,0.73735,0.83822,0.61552,1.06675,0.004775,0.004775,0.004775
40,19113.6,0.82069,1.10805,1.1676,0.87115,0.8902,0.92633,0.74039,0.83437,0.60683,1.06382,0.0046375,0.0046375,0.0046375
41,19593.6,0.81682,1.10268,1.16536,0.87436,0.8924,0.92869,0.74356,0.82972,0.59831,1.06024,0.0045,0.0045,0.0045
42,20073.2,0.81369,1.09372,1.16191,0.8793,0.89204,0.93097,0.7465,0.82523,0.58927,1.05688,0.0043625,0.0043625,0.0043625
43,20545.7,0.81088,1.08219,1.16119,0.8824,0.89365,0.93311,0.74951,0.82097,0.58101,1.05362,0.004225,0.004225,0.004225
44,21016.4,0.8075,1.07435,1.15965,0.88514,0.89624,0.93546,0.7525,0.81649,0.57224,1.05019,0.0040875,0.0040875,0.0040875
45,21486.4,0.80104,1.06148,1.15646,0.88802,0.89833,0.93757,0.75544,0.81204,0.56431,1.04665,0.00395,0.00395,0.00395
46,21964.3,0.79503,1.03581,1.15237,0.89105,0.90066,0.93976,0.75863,0.8075,0.55657,1.0433,0.0038125,0.0038125,0.0038125
47,22441.8,0.7977,1.03601,1.15236,0.8921,0.90388,0.94161,0.76154,0.80317,0.54856,1.0399,0.003675,0.003675,0.003675
48,22919.3,0.78819,1.02459,1.1476,0.89369,0.90657,0.94371,0.7643,0.79857,0.54088,1.03647,0.0035375,0.0035375,0.0035375
49,23389.5,0.78541,1.01683,1.14807,0.8965,0.90894,0.9459,0.76719,0.79405,0.53333,1.03303,0.0034,0.0034,0.0034
50,23862.1,0.78012,1.00037,1.14394,0.89889,0.9112,0.94793,0.77026,0.78937,0.52629,1.02955,0.0032625,0.0032625,0.0032625
51,472.783,0.76935,0.97599,1.13748,0.90159,0.91246,0.94962,0.7721,0.78682,0.52045,1.02725,0.003125,0.003125,0.003125
52,948.316,0.77561,0.98878,1.14,0.90497,0.91313,0.95131,0.77448,0.78352,0.51537,1.02433,0.0029875,0.0029875,0.0029875
53,1426.62,0.7688,0.97142,1.13596,0.90706,0.91557,0.95305,0.77669,0.77992,0.50985,1.02126,0.00285,0.00285,0.00285
54,1898.83,0.76304,0.96374,1.13459,0.90897,0.91781,0.95467,0.77878,0.77615,0.50422,1.01816,0.0027125,0.0027125,0.0027125
55,2369.9,0.7603,0.9494,1.13249,0.90953,0.92051,0.95644,0.78104,0.77219,0.49873,1.01507,0.002575,0.002575,0.002575
56,2844.76,0.75479,0.93927,1.12726,0.91243,0.92174,0.95809,0.78341,0.76808,0.49301,1.0119,0.0024375,0.0024375,0.0024375
57,3319.69,0.75006,0.92228,1.12534,0.91421,0.92451,0.95951,0.78555,0.76405,0.48724,1.00885,0.0023,0.0023,0.0023
58,3792.96,0.74521,0.91891,1.12352,0.91594,0.92672,0.96106,0.78831,0.75952,0.48097,1.00557,0.0021625,0.0021625,0.0021625
59,4266.57,0.73637,0.90568,1.11937,0.9199,0.92687,0.96258,0.79081,0.75473,0.47425,1.00202,0.002025,0.002025,0.002025
60,4742.35,0.73489,0.88953,1.11508,0.92295,0.92759,0.96389,0.79334,0.74972,0.4678,0.99847,0.0018875,0.0018875,0.0018875
61,5215.27,0.73061,0.87922,1.11254,0.92511,0.92943,0.96536,0.79576,0.7447,0.46064,0.99494,0.00175,0.00175,0.00175
62,5686.6,0.72175,0.86882,1.10756,0.92797,0.93095,0.96687,0.7981,0.73979,0.45358,0.9914,0.0016125,0.0016125,0.0016125
63,6157.5,0.72645,0.50635,1.13179,0.93127,0.93212,0.96831,0.80092,0.73375,0.44661,0.98709,0.001475,0.001475,0.001475
64,6624.36,0.70752,0.47656,1.11465,0.93387,0.93443,0.96987,0.80418,0.72697,0.43904,0.98211,0.0013375,0.0013375,0.0013375
65,7094.97,0.6942,0.46016,1.10677,0.93525,0.93847,0.97149,0.80746,0.71986,0.43128,0.97698,0.0012,0.0012,0.0012
66,7563,0.68051,0.44431,1.09779,0.93801,0.94087,0.97313,0.81089,0.71241,0.42329,0.97152,0.0010625,0.0010625,0.0010625
67,8034.2,0.66932,0.42808,1.08676,0.94095,0.94301,0.9747,0.81415,0.70481,0.41518,0.96589,0.000925,0.000925,0.000925
68,8502.3,0.65407,0.41715,1.07984,0.94225,0.94626,0.97621,0.81754,0.69718,0.40725,0.96031,0.0007875,0.0007875,0.0007875
69,8967.19,0.64503,0.40294,1.07159,0.94409,0.94925,0.97749,0.82065,0.6897,0.39991,0.95474,0.00065,0.00065,0.00065
70,9435.47,0.63006,0.39139,1.06407,0.94794,0.95033,0.97864,0.82356,0.6824,0.39318,0.9493,0.0005125,0.0005125,0.0005125
71,9905.37,0.62054,0.37973,1.05529,0.95032,0.95314,0.97975,0.82672,0.67519,0.38656,0.94385,0.000375,0.000375,0.000375
72,10370.6,0.61102,0.371,1.05084,0.95237,0.95512,0.98076,0.82947,0.66828,0.38031,0.93857,0.0002375,0.0002375,0.0002375
