epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1592,0.96502,2.49534,1.4426,0.81612,0.74857,0.79565,0.54968,0.98967,1.20633,1.42849,0.00332808,0.00332808,0.00332808
2,105.026,0.84298,1.27562,1.33011,0.76227,0.7694,0.78276,0.59107,0.87864,1.059,1.37903,0.00659546,0.00659546,0.00659546
3,153.602,0.89899,1.27637,1.37074,0.74536,0.70917,0.73897,0.49806,1.10251,1.20722,1.6198,0.00979685,0.00979685,0.00979685
4,201.582,0.93817,1.2957,1.39448,0.77809,0.76045,0.79778,0.56949,1.01402,1.04704,1.46279,0.009703,0.009703,0.009703
5,250.923,0.89534,1.19973,1.35986,0.75549,0.78054,0.79223,0.57707,1.00883,1.01729,1.45777,0.009604,0.009604,0.009604
6,299.891,0.86074,1.12825,1.33302,0.84356,0.80533,0.85037,0.66628,0.83384,0.85155,1.33741,0.009505,0.009505,0.009505
7,347.83,0.83742,1.07863,1.31574,0.7839,0.79362,0.81928,0.60626,0.91058,0.92562,1.38976,0.009406,0.009406,0.009406
8,396.107,0.81175,1.03457,1.29539,0.83585,0.81909,0.84466,0.6519,0.81249,0.84118,1.32479,0.009307,0.009307,0.009307
9,444.252,0.78694,0.99089,1.2795,0.84493,0.80801,0.84855,0.67148,0.78161,0.82864,1.27678,0.009208,0.009208,0.009208
10,493.74,0.76873,0.96253,1.26118,0.83009,0.84807,0.87026,0.69764,0.76049,0.76146,1.23681,0.009109,0.009109,0.009109
11,542.1,0.75459,0.94645,1.2558,0.83899,0.83303,0.85538,0.68277,0.79407,0.80223,1.27714,0.00901,0.00901,0.00901
12,590.509,0.74612,0.91637,1.24345,0.84668,0.81265,0.86403,0.70035,0.72338,0.78312,1.22143,0.008911,0.008911,0.008911
13,639.025,0.73493,0.90457,1.23733,0.85022,0.8417,0.86668,0.69321,0.76966,0.73525,1.24207,0.008812,0.008812,0.008812
14,686.611,0.71808,0.88175,1.2294,0.87194,0.82096,0.87425,0.71782,0.70591,0.73471,1.19934,0.008713,0.008713,0.008713
15,735.131,0.70697,0.85435,1.22078,0.86878,0.82623,0.88044,0.74264,0.66119,0.6849,1.15659,0.008614,0.008614,0.008614
16,783.568,0.69216,0.84854,1.20848,0.83393,0.85399,0.88954,0.75833,0.64789,0.72735,1.14706,0.008515,0.008515,0.008515
17,832.248,0.69111,0.8276,1.20874,0.86676,0.8465,0.88546,0.74464,0.62816,0.69578,1.12139,0.008416,0.008416,0.008416
18,881.306,0.68182,0.81166,1.20242,0.89592,0.80668,0.88724,0.74917,0.6403,0.68971,1.1398,0.008317,0.008317,0.008317
19,930.419,0.675,0.80414,1.19818,0.86858,0.83628,0.87703,0.73733,0.64607,0.73583,1.15054,0.008218,0.008218,0.008218
20,979.763,0.66737,0.78852,1.191,0.86517,0.8469,0.89029,0.7524,0.63814,0.6756,1.13808,0.008119,0.008119,0.008119
21,1028.26,0.65959,0.77384,1.18599,0.86358,0.85532,0.89359,0.77476,0.59501,0.67429,1.11026,0.00802,0.00802,0.00802
22,1076.99,0.64658,0.75314,1.18013,0.8405,0.86018,0.88656,0.76214,0.61254,0.69379,1.1364,0.007921,0.007921,0.007921
